"year","month","week","spp_1","spp_2","spp_3","spp_4"
21,"1","1",0.000286973727238151,0.955613188606198,0.0241326995978596,0.0199671380687044
21,"1","2",0.000411559160972956,0.966637909839826,0.0151344299801178,0.0178161010190836
21,"1","3",0.000398499012485962,0.969895854413974,0.0116869320785408,0.0180187144949991
21,"1","4",0.00043664804130903,0.969115445594348,0.0101314019558514,0.0203165044084921
21,"1","5",0.0004096087019885,0.970987595715912,0.00906083326065406,0.0195419623214455
21,"10","40",0.000395691002774435,0.94657081923272,0.0325447230868814,0.020488766677624
21,"10","41",0.00041124223105798,0.947033779907865,0.0322407504646168,0.0203142273964608
21,"10","42",0.000379295622231424,0.948112304973033,0.0315536961802339,0.0199547032245018
21,"10","43",0.000384948797741129,0.948494813449821,0.0313708663445442,0.0197493714078932
21,"10","44",0.000375361110452083,0.949060226335412,0.0311275692124948,0.0194368433416413
21,"11","44",0.000333638674669123,0.949583112887038,0.030741734232027,0.0193415142062656
21,"11","45",0.000327836575033501,0.949868409406429,0.0306740724094698,0.019129681609068
21,"11","46",0.000328131203964935,0.950072952630233,0.0305706649572005,0.0190282512086012
21,"11","47",0.000332224823268467,0.950129061049598,0.0305560037510347,0.0189827103760985
21,"11","48",0.000317459726701946,0.950352459006754,0.0304783758514752,0.0188517054150689
21,"12","48",0.000363554651522451,0.949781629901607,0.0307010684000748,0.0191537470467962
21,"12","49",0.000354884546977126,0.949629612160289,0.0309750900127394,0.0190404132799947
21,"12","50",0.000335951857898556,0.949901504366502,0.0308058643721058,0.0189566794034941
21,"12","51",0.000314006648749373,0.95016935335374,0.0306499396811899,0.0188667003163206
21,"12","52",0.000322219291581222,0.949817810850644,0.0309370266719792,0.0189229431857956
21,"2","5",0.000593125862745048,0.963957691759367,0.0074706684116729,0.0279785139662156
21,"2","6",0.000554475104434314,0.963350080383598,0.00715387946797008,0.0289415650439977
21,"2","7",0.000551024407257453,0.964344788087551,0.0072973170609053,0.0278068704442863
21,"2","8",0.000573750297344493,0.964745062531379,0.00704546608701733,0.0276357210842593
21,"2","9",0.000615263034568271,0.962203213579431,0.00800767287160117,0.029173850514399
21,"3","10",0.00055829714951359,0.961299157055794,0.00786190466923513,0.030280641125457
21,"3","11",0.00056662074733232,0.960478428089395,0.00846954847311865,0.0304854026901545
21,"3","12",0.000623381639903829,0.957089347751966,0.00978702592971082,0.0325002446784195
21,"3","13",0.000625730474006884,0.955206182489262,0.0101697374263596,0.0339983496103719
21,"3","14",0.000686727562790988,0.952168213817729,0.0113679764064232,0.035777082213057
21,"3","9",0.000501004101291746,0.963562889220994,0.00712219750935029,0.0288139091683637
21,"4","14",0.000601243541763543,0.956169723404823,0.0125215016783007,0.0307075313751127
21,"4","15",0.000662289212127458,0.952533505689824,0.0136594413286657,0.0331447637693827
21,"4","16",0.00112874779661703,0.940705423843026,0.0224412631382047,0.0357245652221527
21,"4","17",0.000883793217144738,0.927551219339682,0.0454587461902141,0.0261062412529589
21,"4","18",0.000688186862121713,0.929841259502862,0.0443767666068665,0.0250937870281497
21,"5","18",0.00061398445333916,0.914965128434766,0.0621450188337712,0.0222758682781233
21,"5","19",0.000601767477874658,0.916424331009364,0.0570935200997362,0.0258803814130246
21,"5","20",0.000630343302482194,0.917576079953323,0.0533388361399943,0.0284547406042002
21,"5","21",0.000605687271405553,0.913570730603003,0.0545107276063313,0.0313128545192604
21,"5","22",0.000593963459280486,0.918869094952766,0.0514118099797206,0.029125131608233
21,"6","22",0.000468041129703894,0.918861810663101,0.0518755447572967,0.0287946034498981
21,"6","23",0.000400310429396427,0.922319684132344,0.0523681437277122,0.0249118617105472
21,"6","24",0.000404916013747934,0.923757287898124,0.0509016327377087,0.0249361633504197
21,"6","25",0.000407879267026814,0.925044348825868,0.0497215970876398,0.0248261748194652
21,"6","26",0.000410739023112843,0.926571237342998,0.0483827152362144,0.024635308397675
21,"6","27",0.000429506516205818,0.928303720387902,0.046883854354693,0.024382918741199
21,"7","27",0.000403338189735814,0.929189489949093,0.0458777921317586,0.0245293797294123
21,"7","28",0.000393026532442223,0.932070126354063,0.0430821222653278,0.024454724848167
21,"7","29",0.000386690499651584,0.93428124004795,0.0410437305552231,0.0242883388971757
21,"7","30",0.000400117754311471,0.934755521868651,0.0410201939555407,0.0238241664214965
21,"7","31",0.00039415830042679,0.937814539503743,0.0380761733944397,0.0237151288013909
21,"8","31",0.000401497416836048,0.93503958074486,0.0411810557471584,0.0233778660911454
21,"8","32",0.000410077881535616,0.936903318500795,0.0396429778941832,0.0230436257234864
21,"8","33",0.000406100700059808,0.938394967903318,0.0384963254515432,0.0227026059450791
21,"8","34",0.000402174978214093,0.939943365503737,0.0373063692914677,0.0223480902265813
21,"8","35",0.000402266967233132,0.941360974402409,0.0362461896211307,0.0219905690092269
21,"9","35",0.000377822918667541,0.941781239422097,0.0358788732252333,0.0219620644340024
21,"9","36",0.000391727667493792,0.942815355295465,0.0351649268203206,0.0216279902167207
21,"9","37",0.000384478425085724,0.943947502266236,0.0343755526554058,0.0212924666532721
21,"9","38",0.000358993492663538,0.944430953530326,0.0341937257229145,0.0210163272540959
21,"9","39",0.000333440613586436,0.944927221494937,0.034007359975694,0.0207319779157823
21,"9","40",0.000374291224896671,0.947048140440085,0.0322654203008278,0.0203121480341908
22,"1","1",0.000307941792188614,0.953449032334695,0.0243706431762454,0.0218723826968707
22,"1","2",0.000503415803439197,0.96247585706087,0.0173084876580433,0.019712239477647
22,"1","3",0.000407993045745278,0.968698075233935,0.0120492988585238,0.0188446328617956
22,"1","4",0.000599205329846332,0.964126147090358,0.0153421391658727,0.0199325084139232
22,"1","5",0.000773319827813616,0.963895856771765,0.0139810438021297,0.021349779598292
22,"10","40",0.000408613780663766,0.946315129153471,0.0326851981022049,0.0205910589636605
22,"10","41",0.000378550740545207,0.947505591028926,0.0318913523511949,0.0202245058793343
22,"10","42",0.000411978009688478,0.947562266484631,0.031876044959161,0.0201497105465199
22,"10","43",0.00039610056526923,0.948327309795693,0.0314097763781327,0.0198668132609052
22,"10","44",0.000350851340144118,0.949456583093033,0.0307751370672776,0.0194174284995449
22,"11","44",0.000326979761633855,0.949572072931866,0.0306942960302083,0.0194066512762915
22,"11","45",0.00032825931332947,0.949954686906392,0.0305128145710599,0.0192042392092192
22,"11","46",0.000315480864294475,0.950251159525509,0.0303952437712553,0.0190381158389417
22,"11","47",0.00031161975802958,0.950423106057424,0.0303146918309352,0.0189505823536118
22,"11","48",0.000312249452169966,0.95050749088719,0.0302876242561285,0.0188926354045111
22,"12","48",0.000350652033908355,0.950091872322165,0.0303954518628292,0.019162023781097
22,"12","49",0.000347206922951121,0.949957016710161,0.0306304536436308,0.0190653227232571
22,"12","50",0.000324882913784576,0.950249849356345,0.0304655734740285,0.0189596942558415
22,"12","51",0.000303740844240353,0.950469817200902,0.0303589800939328,0.0188674618609244
22,"12","52",0.000312006771033228,0.95019929533134,0.0305658383931641,0.0189228595044625
22,"2","5",0.000534583040420468,0.963008267358417,0.00726239747527616,0.0291947521258864
22,"2","6",0.000577570504442959,0.964241999276553,0.00774479948464994,0.0274356307343537
22,"2","7",0.00057117273539116,0.963310487488406,0.00715879209302292,0.0289595476831802
22,"2","8",0.000581815333588366,0.96007184453103,0.0079930624625037,0.0313532776728776
22,"2","9",0.000585363956147371,0.961041841216784,0.0073152468389955,0.0310575479880728
22,"3","10",0.00062670368100769,0.959805913050419,0.00917578063866619,0.0303916026299073
22,"3","11",0.000573072852507756,0.959664410802597,0.0087888568566829,0.0309736594882127
