"year","spp_1","spp_2","spp_3","spp_4"
21,0.00367680516728836,0.877788529826939,0.00719572950548028,0.111338935500293
22,0.00373880887865196,0.875872255484345,0.00748032548534626,0.112908610151657
23,0.00373862589647982,0.875419432818503,0.00742229721511335,0.113419644069904
24,0.00367298578020544,0.877722109313233,0.00718057718912166,0.11142432771744
25,0.00369559558783847,0.879996384338208,0.00710914643203999,0.109198873641913
26,0.00363797846035466,0.878820700612165,0.00703040603628118,0.1105109148912
27,0.00371104216601688,0.877218052008391,0.00704492024295131,0.11202598558264
28,0.00378295834386982,0.875197811355538,0.00733664066585289,0.113682589634739
29,0.00377566504498222,0.874141224058449,0.00754676729081397,0.114536343605755
30,0.00375003602764874,0.874546920066726,0.00752876534385385,0.114174278561771
