"year","spp_1","spp_2","spp_3","spp_4"
21,0.100237081900755,0.820903973903626,0.0385173354025849,0.0403416087930349
22,0.0988487845790903,0.821079263462735,0.0392529271834049,0.04081902477477
23,0.0971001008466251,0.825491167224259,0.0372075993409818,0.0402011325881336
24,0.0961389979432909,0.82720155288035,0.0372655087985579,0.0393939403778013
25,0.097066594483572,0.826732070480793,0.0366320567511535,0.0395692782844812
26,0.0985280363549932,0.823319596807944,0.0379826276403725,0.0401697391966906
27,0.100523056046078,0.822356528246062,0.0367478183965248,0.0403725973113352
28,0.101188398083857,0.818801536707666,0.0391875949138523,0.0408224702946252
29,0.100386628889477,0.819186234206939,0.0396512595130668,0.0407758773905171
30,0.0998346645480936,0.819914988929503,0.0396159511556044,0.0406343953667994
