"scenario","metric","pop","before","after","diff","timescale","basis","data_type","resolution"
51,"F","spp_4",0.466133793069757,0.378457052802196,-18.8093507853528,"weekly","high_pop","real_pop",20
29,"Bio","spp_1",82586.6752396837,67075.6380108315,-18.7815252083171,"weekly","high_pop","commercial",10
10,"Rec","spp_1",60113.3035434758,48862.1908458061,-18.7165103803229,"monthly","high_pop","real_pop",1
11,"Rec","spp_1",60113.3035434758,48862.1908458061,-18.7165103803229,"yearly","high_pop","real_pop",1
54,"F","spp_3",1.08532310328682,0.894014578619501,-17.6268729641854,"weekly","high_ratio","real_pop",20
55,"F","spp_3",1.08532310328682,0.894014578619501,-17.6268729641854,"monthly","high_ratio","real_pop",20
56,"F","spp_3",1.08532310328682,0.894014578619501,-17.6268729641854,"yearly","high_ratio","real_pop",20
34,"Bio","spp_1",82586.6752396837,68340.8146306988,-17.2495872580419,"yearly","high_ratio","commercial",10
6,"F","spp_4",0.466133793069757,0.388574104069463,-16.6389328886711,"yearly","high_ratio","commercial",1
38,"Bio","spp_1",82586.6752396837,69042.7180600617,-16.3996881340902,"monthly","high_pop","real_pop",10
39,"Bio","spp_1",82586.6752396837,69042.7180600617,-16.3996881340902,"yearly","high_pop","real_pop",10
26,"F","spp_3",1.08532310328682,0.920462633566625,-15.1899898952607,"weekly","high_ratio","real_pop",5
27,"F","spp_3",1.08532310328682,0.920462633566625,-15.1899898952607,"monthly","high_ratio","real_pop",5
28,"F","spp_3",1.08532310328682,0.920462633566625,-15.1899898952607,"yearly","high_ratio","real_pop",5
23,"Rec","spp_1",60113.3035434758,50993.2676423617,-15.1714102594914,"weekly","high_pop","real_pop",5
35,"Bio","spp_1",82586.6752396837,70091.4663518599,-15.1298122264398,"yearly","high_pop","survey",10
3,"Bio","spp_2",216238.443821354,184069.2012964,-14.8767452985975,"yearly","high_pop","commercial",1
1,"Rec","spp_1",60113.3035434758,51244.865407443,-14.7528710173429,"weekly","high_pop","commercial",1
24,"Rec","spp_1",60113.3035434758,51474.4454177582,-14.3709588668168,"monthly","high_pop","real_pop",5
25,"Rec","spp_1",60113.3035434758,51474.4454177582,-14.3709588668168,"yearly","high_pop","real_pop",5
33,"Bio","spp_1",82586.6752396837,70848.7234897669,-14.2128881152448,"monthly","high_ratio","commercial",10
9,"Bio","spp_2",216238.443821354,186060.680119874,-13.955781020331,"weekly","high_pop","real_pop",1
23,"F","spp_4",0.466133793069757,0.401394896218134,-13.8884796198276,"weekly","high_pop","real_pop",5
2,"Rec","spp_1",60113.3035434758,51766.9754237015,-13.8843278073014,"monthly","high_pop","commercial",1
16,"Rec","spp_1",60113.3035434758,51803.3724078141,-13.8237805041802,"monthly","high_pop","commercial",5
7,"F","spp_2",0.788847477234695,0.680203917013067,-13.7724418670233,"yearly","high_pop","survey",1
15,"Rec","spp_1",60113.3035434758,52019.9500164199,-13.4634981775749,"weekly","high_pop","commercial",5
10,"Bio","spp_2",216238.443821354,187721.343255902,-13.1878032700844,"monthly","high_pop","real_pop",1
11,"Bio","spp_2",216238.443821354,187721.343255902,-13.1878032700844,"yearly","high_pop","real_pop",1
5,"Bio","spp_1",82586.6752396837,71875.2433297587,-12.9699275080855,"monthly","high_ratio","commercial",1
4,"Bio","spp_1",82586.6752396837,72093.8086071864,-12.7052779422889,"weekly","high_ratio","commercial",1
31,"Bio","spp_1",82586.6752396837,72349.0387232828,-12.396232790204,"yearly","high_pop","commercial",10
9,"Catch","spp_1",39277.4551209366,34435.0181296604,-12.328795173634,"weekly","high_pop","real_pop",1
3,"Rec","spp_1",60113.3035434758,52936.8057803319,-11.9382854378542,"yearly","high_pop","commercial",1
13,"F","spp_3",1.08532310328682,0.95675696049302,-11.8458864834306,"monthly","high_ratio","real_pop",1
14,"F","spp_3",1.08532310328682,0.95675696049302,-11.8458864834306,"yearly","high_ratio","real_pop",1
10,"Catch","spp_1",39277.4551209366,34696.9092377983,-11.6620230843232,"monthly","high_pop","real_pop",1
11,"Catch","spp_1",39277.4551209366,34696.9092377983,-11.6620230843232,"yearly","high_pop","real_pop",1
30,"F","spp_3",1.08532310328682,0.961276477929332,-11.4294651041543,"monthly","high_pop","commercial",10
17,"Rec","spp_1",60113.3035434758,53278.2920426436,-11.3702144083446,"yearly","high_pop","commercial",5
31,"F","spp_4",0.466133793069757,0.413749659604436,-11.2380038186764,"yearly","high_pop","commercial",10
19,"Rec","spp_1",60113.3035434758,53475.2930640234,-11.0424982294503,"monthly","high_ratio","commercial",5
5,"F","spp_4",0.466133793069757,0.414929689906743,-10.9848511144849,"monthly","high_ratio","commercial",1
6,"Rec","spp_1",60113.3035434758,53514.7332686332,-10.976888452105,"yearly","high_ratio","commercial",1
12,"F","spp_3",1.08532310328682,0.966689072984116,-10.9307569279077,"weekly","high_ratio","real_pop",1
21,"Rec","spp_1",60113.3035434758,53580.7964531127,-10.8669906747656,"yearly","high_pop","survey",5
20,"Bio","spp_1",82586.6752396837,73701.8351252934,-10.7582005070487,"yearly","high_ratio","commercial",5
32,"Bio","spp_1",82586.6752396837,73814.1204077967,-10.6222399756707,"weekly","high_ratio","commercial",10
17,"Bio","spp_2",216238.443821354,193357.554483786,-10.5813235302741,"yearly","high_pop","commercial",5
1,"Bio","spp_2",216238.443821354,193378.139622566,-10.571803882234,"weekly","high_pop","commercial",1
50,"Bio","spp_1",82586.6752396837,73925.8070473456,-10.4870043105651,"yearly","high_ratio","survey",20
29,"F","spp_3",1.08532310328682,0.972390706688609,-10.4054171754206,"weekly","high_pop","commercial",10
21,"Catch","spp_4",13011.1905015701,11670.1109868833,-10.3071238141116,"yearly","high_pop","survey",5
24,"Bio","spp_2",216238.443821354,194065.083160339,-10.2541251542362,"monthly","high_pop","real_pop",5
25,"Bio","spp_2",216238.443821354,194065.083160339,-10.2541251542362,"yearly","high_pop","real_pop",5
48,"Rec","spp_1",60113.3035434758,53964.5245296784,-10.2286493194479,"yearly","high_ratio","commercial",20
16,"Bio","spp_2",216238.443821354,194517.356058351,-10.0449704405698,"monthly","high_pop","commercial",5
7,"Rec","spp_1",60113.3035434758,54083.0151288375,-10.031537212519,"yearly","high_pop","survey",1
6,"Bio","spp_2",216238.443821354,194730.433107248,-9.94643243542533,"yearly","high_ratio","commercial",1
51,"F","spp_1",0.455140736818498,0.410576603051174,-9.79128655431604,"weekly","high_pop","real_pop",20
2,"Bio","spp_2",216238.443821354,195565.343319861,-9.56032615484972,"monthly","high_pop","commercial",1
4,"F","spp_4",0.466133793069757,0.423390047803038,-9.16984477465722,"weekly","high_ratio","commercial",1
1,"Catch","spp_1",39277.4551209366,35719.9355886253,-9.0574084327958,"weekly","high_pop","commercial",1
45,"Rec","spp_1",60113.3035434758,54682.4186635879,-9.03441428062612,"yearly","high_pop","commercial",20
19,"Bio","spp_2",216238.443821354,196731.288566619,-9.02113190883439,"monthly","high_ratio","commercial",5
4,"Bio","spp_2",216238.443821354,196772.624872323,-9.00201583262988,"weekly","high_ratio","commercial",1
5,"Bio","spp_2",216238.443821354,196805.100474866,-8.98699741038758,"monthly","high_ratio","commercial",1
16,"Catch","spp_1",39277.4551209366,35801.9916100483,-8.84849463944958,"monthly","high_pop","commercial",5
44,"Rec","spp_1",60113.3035434758,54885.846148298,-8.69600751753258,"monthly","high_pop","commercial",20
24,"Catch","spp_1",39277.4551209366,35866.6142604451,-8.68396603086804,"monthly","high_pop","real_pop",5
25,"Catch","spp_1",39277.4551209366,35866.6142604451,-8.68396603086804,"yearly","high_pop","real_pop",5
18,"Rec","spp_1",60113.3035434758,54977.5306171696,-8.54348808594727,"weekly","high_ratio","commercial",5
29,"Rec","spp_1",60113.3035434758,55094.6034455917,-8.3487344764781,"weekly","high_pop","commercial",10
47,"Bio","spp_4",26173.2387640711,23999.0101692616,-8.30706743788296,"monthly","high_ratio","commercial",20
43,"Rec","spp_1",60113.3035434758,55159.614346201,-8.24058719995665,"weekly","high_pop","commercial",20
23,"Catch","spp_1",39277.4551209366,36061.0041147671,-8.18905144507447,"weekly","high_pop","real_pop",5
18,"Bio","spp_2",216238.443821354,198614.681368089,-8.15015227718925,"weekly","high_ratio","commercial",5
2,"Catch","spp_1",39277.4551209366,36192.7993514113,-7.85350211725175,"monthly","high_pop","commercial",1
13,"F","spp_4",0.466133793069757,0.429563694504194,-7.84540814445738,"monthly","high_ratio","real_pop",1
14,"F","spp_4",0.466133793069757,0.429563694504194,-7.84540814445738,"yearly","high_ratio","real_pop",1
22,"Bio","spp_1",82586.6752396837,76297.2443349664,-7.61555164494035,"yearly","high_ratio","survey",5
15,"Catch","spp_1",39277.4551209366,36310.8859406711,-7.5528548658037,"weekly","high_pop","commercial",5
17,"Catch","spp_1",39277.4551209366,36399.999795121,-7.32597190158024,"yearly","high_pop","commercial",5
21,"F","spp_2",0.788847477234695,0.73126692375064,-7.29932656765341,"yearly","high_pop","survey",5
37,"Rec","spp_1",60113.3035434758,55727.4082129102,-7.29604774988551,"weekly","high_pop","real_pop",10
12,"F","spp_4",0.466133793069757,0.432132618809783,-7.29429506409665,"weekly","high_ratio","real_pop",1
23,"Bio","spp_2",216238.443821354,200556.965230001,-7.25193832985046,"weekly","high_pop","real_pop",5
15,"Bio","spp_2",216238.443821354,200643.100813531,-7.21210471746963,"weekly","high_pop","commercial",5
45,"Bio","spp_2",216238.443821354,201000.580618744,-7.04678730263096,"yearly","high_pop","commercial",20
30,"Rec","spp_1",60113.3035434758,56061.7377694748,-6.73988208129474,"monthly","high_pop","commercial",10
37,"F","spp_4",0.466133793069757,0.434888544996925,-6.703064342764,"weekly","high_pop","real_pop",10
48,"Bio","spp_2",216238.443821354,202082.627927687,-6.54639186423374,"yearly","high_ratio","commercial",20
34,"F","spp_4",0.466133793069757,0.436007097662534,-6.46310047783085,"yearly","high_ratio","commercial",10
3,"Catch","spp_1",39277.4551209366,36768.3815623164,-6.38807568080638,"yearly","high_pop","commercial",1
32,"F","spp_3",1.08532310328682,1.01780465934834,-6.22104548719287,"weekly","high_ratio","commercial",10
24,"F","spp_4",0.466133793069757,0.437434102474079,-6.15696416401685,"monthly","high_pop","real_pop",5
25,"F","spp_4",0.466133793069757,0.437434102474079,-6.15696416401685,"yearly","high_pop","real_pop",5
