"year","spp_1","spp_2","spp_3","spp_4"
21,0.000508671786081905,0.944166079387895,0.0299280880227872,0.0253971608032356
22,0.000516424482133191,0.942252678441622,0.0315635098789883,0.0256673871972563
23,0.000495430347420911,0.945429240832707,0.0286495708800785,0.025425757939794
24,0.000499506886622215,0.946261010358163,0.0285089287045907,0.0247305540506239
25,0.00049824333855175,0.946998659356325,0.0279590349833593,0.0245440623217641
26,0.000514947646221653,0.942896062483824,0.0314680869048953,0.0251209029650588
27,0.000521500618060909,0.945552224824307,0.02815181012922,0.0257744644284125
28,0.000528976485945178,0.941885714978826,0.0316210441419988,0.02596426439323
29,0.000519086671735059,0.941555889557853,0.0322931973232793,0.0256318264471325
30,0.000514222156955277,0.941807447057957,0.0320051743714,0.025673156413688
