"year","month","week","spp_1","spp_2","spp_3","spp_4"
21,"1","1",0.0322413679573481,0.873798892869437,0.061645787092194,0.032313952081021
21,"1","2",0.0439661092908187,0.851775239951423,0.0618757680783286,0.0423828826794298
21,"1","3",0.0564607285488579,0.833521754819745,0.0590346067459989,0.0509829098853982
21,"1","4",0.0688610603346656,0.818925468970552,0.0545074098862086,0.0577060608085736
21,"1","5",0.0789509446166319,0.813002515398802,0.04680372239386,0.061242817590706
21,"10","40",0.0669715144441855,0.8796048774131,0.0285635535203387,0.0248600546223762
21,"10","41",0.0609988012253654,0.888127381948545,0.0260605041227949,0.0248133127032945
21,"10","42",0.0564992425558407,0.893646736897749,0.0255491726592456,0.024304847887165
21,"10","43",0.0522289228498715,0.898858873215278,0.0251043090131767,0.0238078949216742
21,"10","44",0.0473551321938457,0.905814535945543,0.0229757364939098,0.0238545953667011
21,"11","44",0.0489276236125971,0.901823446030229,0.026364619687509,0.0228843106696651
21,"11","45",0.0442844792956953,0.908402349224339,0.0243414393181826,0.0229717321617826
21,"11","46",0.0406442329361391,0.912727934500098,0.0239981391598902,0.0226296934038731
21,"11","47",0.0372321598467279,0.916778537638123,0.0236744566809136,0.0223148458342355
21,"11","48",0.0336479732344479,0.921917421403697,0.0218900431289491,0.0225445622329057
21,"12","48",0.0344277045969762,0.919272344426656,0.0247822901062167,0.0215176608701508
21,"12","49",0.0310790466635441,0.924103752402194,0.0230854012262795,0.0217317997079828
21,"12","50",0.0283200822657066,0.92742331537596,0.0228074555295895,0.0214491468287442
21,"12","51",0.0257700219126057,0.930523991428366,0.0225405349564674,0.0211654517025613
21,"12","52",0.0234160773823732,0.933422644514315,0.0222780224991643,0.0208832556041471
21,"2","5",0.0830042232438418,0.801027486986443,0.0519803569387104,0.0639879328310045
21,"2","6",0.0930309093351476,0.796575115540289,0.0443894578127721,0.0660045173117917
21,"2","7",0.104417264730426,0.78816985919338,0.0393890119786545,0.0680238640975395
21,"2","8",0.115204878579349,0.781109168695658,0.034734521047695,0.0689514316772986
21,"2","9",0.122717439111764,0.78212107250184,0.0277260527941389,0.0674354355922566
21,"3","10",0.134315124551302,0.770353729293549,0.0273424725573477,0.067988673597801
21,"3","11",0.142561290501353,0.766035287182369,0.0249740725916739,0.0664293497246043
21,"3","12",0.149958013832859,0.762183412130447,0.0234918411386061,0.0643667328980879
21,"3","13",0.156528944666519,0.758806790911937,0.022726257380622,0.0619380070409222
21,"3","14",0.158800983824731,0.762573848777473,0.0200059472330788,0.0586192201647171
21,"3","9",0.127674959554463,0.768489819124275,0.0334984784698673,0.0703367428513953
21,"4","14",0.165357448370828,0.750174724838783,0.0247026026526241,0.0597652241377647
21,"4","15",0.166978176675683,0.754441882928215,0.0222715056042156,0.0563084347918862
21,"4","16",0.157546184520971,0.753172367595386,0.0507336231302524,0.0385478247533907
21,"4","17",0.140974081469259,0.768340573398143,0.054669766672183,0.0360155784604145
21,"4","18",0.122830049758639,0.787635391340824,0.0505313657805919,0.0390031931199447
21,"5","18",0.124999654832987,0.777886537051391,0.0579290325423414,0.0391847755732802
21,"5","19",0.122806934358256,0.781903166401651,0.052922132533401,0.0423677667066924
21,"5","20",0.122755555714182,0.779838273669141,0.0516045719731521,0.0458015986435251
21,"5","21",0.123452950273582,0.780763328195857,0.0505526019388667,0.0452311195916947
21,"5","22",0.121768094730567,0.789136544297897,0.0458089201448772,0.0432864408266591
21,"6","22",0.126654908369831,0.777560629186253,0.053233029795558,0.0425514326483583
21,"6","23",0.124461079466607,0.786389754518616,0.04838572505156,0.0407634409632179
21,"6","24",0.124148591336284,0.789949620702259,0.0469707603884931,0.0389310275729635
21,"6","25",0.123372515646604,0.793842054491904,0.0454199965577009,0.0373654333037914
21,"6","26",0.122109152150298,0.798131024295643,0.0437410059762675,0.0360188175777915
21,"6","27",0.117713474786499,0.808208364013736,0.0386876076660447,0.0353905535337204
21,"7","27",0.122978444901838,0.797541180873593,0.0451438627631357,0.0343365114614335
21,"7","28",0.118180377302759,0.807783211915143,0.0401849685893854,0.0338514421927125
21,"7","29",0.115470539136796,0.813156207064515,0.0384277622016766,0.0329454915970121
21,"7","30",0.112238736895136,0.818865918785104,0.0367732504169937,0.0321220939027667
21,"7","31",0.106119024502944,0.829545040284893,0.0324757059523266,0.0318602292598358
21,"8","31",0.110971474967178,0.820252196337087,0.0379479822326278,0.0308283464631079
21,"8","32",0.104555169264196,0.830932249654204,0.0339555585081121,0.0305570225734877
21,"8","33",0.100174013044009,0.837230920825484,0.0327911277594105,0.029803938371096
21,"8","34",0.0955223863773794,0.843701971590991,0.0316970934268632,0.029078548604766
21,"8","35",0.0886373683715099,0.854231188976862,0.0282489844662304,0.0288824581853978
21,"9","35",0.0926012252155572,0.846513179597006,0.0329880034243236,0.0278975917631134
21,"9","36",0.0856470498285245,0.856917522461851,0.0297208402638297,0.0277145874457952
21,"9","37",0.0805786882393567,0.86349997544276,0.0288442497256923,0.0270770865921908
21,"9","38",0.0755323701136109,0.869971432120683,0.0280399218224516,0.0264562759432548
21,"9","39",0.0705625438861109,0.8762678961438,0.0273000584231784,0.0258695015469104
21,"9","40",0.0643832199219279,0.885168639030837,0.0246327165992853,0.02581542444795
22,"1","1",0.0328908746623443,0.870062514258215,0.0642633248881331,0.0327832861913078
22,"1","2",0.0448087431513764,0.847784707265708,0.0644531819066376,0.0429533676762781
22,"1","3",0.0575219997027181,0.829340682496681,0.0614998963204869,0.0516374214801139
22,"1","4",0.0700988097960376,0.814723319645501,0.0567599910683958,0.0584178794900658
